Region,Date,Cases,Recoveries,Deaths,Retail_&_Recreation,Grocery_&_Pharmacy,Parks,Transit_stations,Workplaces,Residential,Vaccinated,Fully_Vaccinated,Revaccinated,Population
77,1/1/2021,815676,633702,11280,-70,-65,-24,-65,-88,29,50000,0,0,12655050
77,1/2/2021,821128,639809,11356,-46,-40,-31,-40,-47,7,50000,0,0,12656037
77,1/3/2021,824979,645923,11433,-36,-28,-22,-25,-19,1,50000,0,0,12657023
77,1/4/2021,828570,652324,11507,-31,-27,4,-45,-73,18,50000,0,0,12658010
77,1/5/2021,833412,659076,11582,-31,-25,1,-44,-72,18,50000,0,0,12658996
77,1/6/2021,838554,666282,11652,-33,-23,-5,-44,-71,18,50000,0,0,12659983
77,1/7/2021,843425,673692,11728,-38,-30,3,-49,-76,20,50000,0,0,12660969
77,1/8/2021,848452,680759,11799,-39,-31,-18,-47,-72,20,50000,0,0,12661956
77,1/9/2021,853352,688061,11873,-38,-29,-41,-30,-21,4,50000,0,0,12662942
77,1/10/2021,857568,695106,11950,-35,-20,-38,-24,-7,3,50000,0,0,12663929
77,1/11/2021,862214,701790,12025,-33,-20,-30,-28,-32,11,50000,0,0,12664915
77,1/12/2021,867215,708568,12097,-31,-18,-30,-27,-33,10,50000,0,0,12665902
77,1/13/2021,871535,715438,12173,-33,-19,-40,-29,-33,9,50000,0,0,12666888
77,1/14/2021,877428,722487,12241,-37,-25,-37,-27,-36,9,140000,0,0,12667875
77,1/15/2021,882962,729089,12322,-36,-25,-44,-30,-37,9,140000,0,0,12668861
77,1/16/2021,887636,734728,12401,-38,-26,-60,-28,-20,4,140000,0,0,12669848
77,1/17/2021,891648,739340,12468,-36,-22,-56,-29,-15,2,140000,0,0,12670834
77,1/18/2021,895327,743349,12541,-37,-26,-39,-28,-34,9,190000,0,0,12671821
77,1/19/2021,898442,747881,12625,-34,-22,-30,-26,-34,8,200000,0,0,12672807
77,1/20/2021,900894,752651,12690,-34,-20,-35,-25,-32,8,200000,0,0,12673794
77,1/21/2021,904352,757871,12759,-34,-21,-31,-24,-32,7,220000,0,0,12674780
77,1/22/2021,907389,763500,12831,-32,-19,-33,-23,-31,7,220000,0,0,12675767
77,1/23/2021,910057,769433,12895,-31,-20,-48,-21,-15,3,220000,0,0,12676753
77,1/24/2021,913126,774550,12969,-31,-17,-43,-22,-11,1,220000,0,0,12677740
