Date,Importance,News,Source
1/1/2021,0,0,0
1/2/2021,0,0,0
1/3/2021,0,0,0
1/4/2021,0,0,0
1/5/2021,0,0,0
1/6/2021,0,0,0
1/7/2021,0,0,0
1/8/2021,1,??? ???????????? ???????? ?????? ?????? ? «???????? V» ? ????? ??????,https://russian.rt.com/world/news/820544-voz-dannie-sputnik
1/9/2021,0,0,0
1/10/2021,1,"? ????????? ??????????, ????? ???????? ???????????? ? ??? ?? «???????? V»",https://russian.rt.com/world/news/820943-rossiya-voz-sputnikvi-konsultacii
1/11/2021,0,0,0
1/12/2021,0,0,0
1/13/2021,0,0,0
1/14/2021,0,0,0
1/15/2021,0,0,0
1/16/2021,0,0,0
1/17/2021,0,0,0
1/18/2021,0,0,0
1/19/2021,0,0,0
1/20/2021,1,????????????? ??? ???????? ??????????????? ?? ???????????? ? ??????,https://russian.rt.com/russia/news/823961-voz-predstavitel-vakcinaciya-rossiya
1/21/2021,3,??? ?????? ????????? ??? ?????? ?????? ?? ??????????? «???????? V»,https://russian.rt.com/world/news/824466-voz-zayavka-registraciya
1/22/2021,0,0,0
1/23/2021,0,0,0
1/24/2021,0,0,0
1/25/2021,0,0,0
1/26/2021,1,??????? ???? ?????????? ??????? «??????? V» ?????????? ???,https://russian.rt.com/science/news/826079-vakcina-sputnik-v-voz
1/27/2021,0,0,0
1/28/2021,1,?????? ??? ???????? ?? ?????? ????????? ??? ??????? «??????? V»,https://russian.rt.com/world/news/826509-gensek-oon-sputnikvi-kommentarii
1/29/2021,0,0,0
1/30/2021,0,0,0
1/31/2021,0,0,0
2/1/2021,0,0,0
2/2/2021,1,? ??? ????????????????? ?????????? ??????? ???? ????????? ??????? «??????? V»,https://russian.rt.com/science/news/828391-voz-vakcina-sputnik-v
2/3/2021,1,??? ??????? ?????????? ??????????? ???????????? «???????? V» ? The Lancet,https://russian.rt.com/world/news/828776-voz-sputnik-effektivnost-ocenka
2/4/2021,0,0,0
2/5/2021,0,0,0
2/6/2021,0,0,0
2/7/2021,0,0,0
2/8/2021,0,0,0
2/9/2021,0,0,0
2/10/2021,1,????????????? ??? ????????? ?????????? ???????? ?? ????????????,https://russian.rt.com/russia/news/831043-predstavitel-voz-vakcina
2/11/2021,0,0,0
2/12/2021,0,0,0
2/13/2021,0,0,0
2/14/2021,0,0,0
2/15/2021,0,0,0
2/16/2021,0,0,0
2/17/2021,0,0,0
2/18/2021,0,0,0
2/19/2021,0,0,0
2/20/2021,0,0,0
2/21/2021,0,0,0
2/22/2021,0,0,0
2/23/2021,0,0,0
2/24/2021,0,0,0
2/25/2021,0,0,0
2/26/2021,0,0,0
2/27/2021,0,0,0
2/28/2021,0,0,0
3/1/2021,0,0,0
3/2/2021,0,0,0
3/3/2021,0,0,0
3/4/2021,2,? ??? ??????? ?????? ?????????? ??????? «??????? V» ? ??,https://russian.rt.com/world/news/838971-voz-sputnik-v-es
3/5/2021,0,0,0
3/6/2021,0,0,0
3/7/2021,1,????? ??? ???????????????? ???? ???????? ? ??????? ?? ?????? «???????? V»,https://russian.rt.com/world/news/840209-glava-voz-murashko-sputnik-v
3/8/2021,0,0,0
3/9/2021,0,0,0
3/10/2021,0,0,0
3/11/2021,0,0,0
3/12/2021,0,0,0
3/13/2021,0,0,0
3/14/2021,0,0,0
3/15/2021,0,0,0
3/16/2021,0,0,0
3/17/2021,0,0,0
3/18/2021,0,0,0
3/19/2021,0,0,0
3/20/2021,0,0,0
3/21/2021,0,0,0
3/22/2021,0,0,0
3/23/2021,0,0,0
3/24/2021,0,0,0
3/25/2021,0,0,0
3/26/2021,0,0,0
3/27/2021,0,0,0
3/28/2021,0,0,0
3/29/2021,0,0,0
3/30/2021,0,0,0
3/31/2021,0,0,0
4/1/2021,0,0,0
4/2/2021,2,????????????? ??? ?????? ???????? ? ???????? «??????? V»,https://russian.rt.com/world/news/848836-voz-sputnikvi-ispolzovanie-kommentarii
4/3/2021,0,0,0
4/4/2021,0,0,0
4/5/2021,0,0,0
4/6/2021,0,0,0
4/7/2021,0,0,0
4/8/2021,0,0,0
4/9/2021,0,0,0
4/10/2021,0,0,0
4/11/2021,0,0,0
4/12/2021,2,??? ????????? ????????????????? ???????????? ??????? «??????? V»,https://russian.rt.com/world/news/852087-voz-sputnik-v-inspekciya
4/13/2021,0,0,0
4/14/2021,0,0,0
4/15/2021,0,0,0
4/16/2021,0,0,0
4/17/2021,0,0,0
